com.samsung.shealth.stress,6212007,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2022-04-13 19:00:00.000,,925214b7-a6f9-4c92-bd63-7299f18b6f14.binning_data.json,10011,2022-04-13 20:01:07.403,2022-04-13 20:01:07.403,14.0,0.0,3.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 19:59:59.999,925214b7-a6f9-4c92-bd63-7299f18b6f14,
2022-04-14 14:00:00.000,,6d7399f9-1aa1-4cc7-bf3c-0f28751ad10e.binning_data.json,10011,2022-04-14 15:04:00.256,2022-04-14 15:04:00.256,15.0,0.0,1.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 14:59:59.999,6d7399f9-1aa1-4cc7-bf3c-0f28751ad10e,
2022-04-14 19:00:00.000,,11cf7563-b928-4e49-b46b-d3265d097fb8.binning_data.json,10011,2022-04-14 20:04:59.415,2022-04-14 20:04:59.415,92.0,0.0,35.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 19:59:59.999,11cf7563-b928-4e49-b46b-d3265d097fb8,
2022-04-14 18:00:00.000,,73c5ac01-5739-4c9d-8e20-4cf37b56150f.binning_data.json,10011,2022-04-14 19:03:21.039,2022-04-14 18:25:16.908,86.0,0.0,13.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 18:59:59.999,73c5ac01-5739-4c9d-8e20-4cf37b56150f,
2022-04-14 20:00:00.000,,dae53070-0de9-4ee9-88b8-864b6aec6245.binning_data.json,10011,2022-04-14 21:01:29.369,2022-04-14 21:01:29.369,94.0,6.0,40.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 20:59:59.999,dae53070-0de9-4ee9-88b8-864b6aec6245,
2022-04-14 17:00:00.000,,1f661186-7102-44b6-b8d1-fa8b5b6dfad3.binning_data.json,10011,2022-04-14 18:12:23.855,2022-04-14 18:12:23.855,87.0,0.0,3.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 17:59:59.999,1f661186-7102-44b6-b8d1-fa8b5b6dfad3,
2022-04-14 15:00:00.000,,755b7f26-4e0f-42c7-a64b-44f5d7e6a51d.binning_data.json,10011,2022-04-14 16:04:08.701,2022-04-14 16:04:08.701,17.0,1.0,4.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 15:59:59.999,755b7f26-4e0f-42c7-a64b-44f5d7e6a51d,
2022-04-15 14:00:00.000,,eb454598-a833-4b5f-ac78-e88cace3b67f.binning_data.json,10011,2022-04-15 15:04:13.339,2022-04-15 15:04:13.339,49.0,1.0,12.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 14:59:59.999,eb454598-a833-4b5f-ac78-e88cace3b67f,
2022-04-14 16:00:00.000,,77e1848c-1067-476c-9a76-570ccbaa9616.binning_data.json,10011,2022-04-14 17:01:55.109,2022-04-14 16:34:06.958,14.0,0.0,2.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 16:59:59.999,77e1848c-1067-476c-9a76-570ccbaa9616,
2022-04-14 23:00:00.000,,1778c66f-f1bb-43c2-9844-8d568c3b58ec.binning_data.json,10011,2022-04-15 13:54:06.095,2022-04-15 13:54:06.095,82.0,0.0,32.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 23:59:59.999,1778c66f-f1bb-43c2-9844-8d568c3b58ec,
