com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
7162,4,0,11,2022-04-11 14:34:00.000,,,2022-04-11 14:34:45.460,2022-04-11 14:34:42.541,11,1.1219418,8.036438,0.4659729,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 14:35:00.000,c753371b-ca89-4b27-8b93-910164143b4a,
9283,4,0,19,2022-04-11 15:52:00.000,,,2022-04-11 15:52:31.829,2022-04-11 15:52:31.829,19,1.5969819,14.826294,0.77363586,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 15:53:00.000,6fb7bc91-783d-47a1-857a-54bf8e7ffbf7,
10140,4,0,17,2022-04-11 00:31:00.000,,,2022-04-11 00:32:54.827,2022-04-11 00:32:54.827,17,1.1666666,11.83,0.68,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 00:32:00.000,e6737cc5-97ce-4c2a-b4dc-5f9cfd18c45c,
23681,4,0,35,2022-04-11 15:40:00.000,,,2022-04-11 15:42:54.026,2022-04-11 15:40:13.979,35,1.1403939,27.006348,1.4346886,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 15:41:00.000,56445317-c888-42bd-bedb-4305c6e9c660,
10099,4,0,18,2022-04-11 16:13:00.000,,,2022-04-11 16:13:49.376,2022-04-11 16:13:00.336,18,1.350621,13.640869,0.7428398,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 16:14:00.000,fcb0640e-622e-47ab-b754-56326f1159aa,
9067,4,0,22,2022-04-11 02:14:00.000,,,2022-04-11 02:14:20.416,2022-04-11 02:14:13.672,22,1.9166667,17.380001,0.85,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 02:15:00.000,37c9a692-6bac-4216-b1b0-36a7464480c4,
9699,4,0,15,2022-04-11 16:06:00.000,,,2022-04-11 16:06:21.200,2022-04-11 16:06:04.906,15,1.1586113,11.238403,0.623024,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 16:07:00.000,b47b1cf0-dba5-42b6-8a8b-b62065727057,
11700,4,0,15,2022-04-10 23:40:00.000,,,2022-04-10 23:41:52.461,2022-04-10 23:41:52.461,15,0.8333333,9.75,0.77,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 23:41:00.000,169107c7-2cdf-424d-a53a-1acd629b0ec4,
12824,4,0,21,2022-04-11 16:25:00.000,,,2022-04-11 16:25:47.880,2022-04-11 16:25:33.870,21,1.2344773,15.831055,0.86694336,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 16:26:00.000,e9923598-8dc0-45a6-93c6-e465a46c71ae,
16388,4,0,28,2022-04-11 15:40:00.000,,,2022-04-11 15:40:48.947,2022-04-11 15:40:48.947,28,1.2222222,20.03,1.09,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 15:41:00.000,092d4bea-7eb7-4051-95a7-c2741874d373,
26685,4,0,22,2022-04-11 16:15:00.000,,,2022-04-11 16:15:37.385,2022-04-11 16:15:05.953,22,0.620884,16.568726,0.9120865,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 16:16:00.000,fdb4101b-5491-4545-878b-092f87cc9872,
5931,4,0,10,2022-04-11 00:45:00.000,,,2022-04-11 00:45:58.384,2022-04-11 00:45:58.384,10,1.2222222,7.25,0.42000008,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 00:46:00.000,e8d8b13b-cd20-43e1-9532-2b4e2fca8d23,
12009,4,0,23,2022-04-11 16:12:00.000,,,2022-04-11 16:12:41.697,2022-04-11 16:12:41.697,23,1.3888888,16.68,0.89,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 16:13:00.000,287e1d3c-c1e9-414d-a3ad-2647e67b309a,
3920,4,0,10,2022-04-11 02:16:00.000,,,2022-04-11 02:16:33.694,2022-04-11 02:16:33.694,10,2.0277777,7.95,0.44,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 02:17:00.000,fd1f7a6e-7b28-4404-9fea-acdf27a494e2,
43735,4,0,66,2022-04-11 00:30:00.000,,,2022-04-11 00:31:48.031,2022-04-11 00:31:48.031,66,1.1478171,50.20038,2.725666,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 00:31:00.000,b9b51663-4828-41fc-abbd-c1dc02d270fa,
41444,4,0,78,2022-04-11 16:26:00.000,,,2022-04-11 16:27:05.747,2022-04-11 16:27:05.747,78,1.477265,61.22473,3.1689682,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 16:27:00.000,70083cfc-d506-45ec-bc7e-433bca3c666f,
11308,4,0,24,2022-04-11 16:27:00.000,,,2022-04-11 16:31:47.217,2022-04-11 16:27:32.472,24,1.6102935,18.21,0.90999997,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 16:28:00.000,093efb43-340e-44a0-9c7c-b82150e63071,
